dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.858342,10.434504,0.000645,0.064516,3.225806,161.290323,0.001255
0.020000,4.858709,10.434505,0.001013,0.018374,-2.307087,-276.644666,0.000888
0.020000,4.859444,10.434505,0.001748,0.036743,0.918423,161.275476,0.000153
0.020000,4.867214,10.434501,0.009518,0.388502,17.587978,833.477759,6.282236
0.020000,4.879006,10.434482,0.021310,0.589609,10.055306,-376.633572,6.280766
0.020000,4.893747,10.434432,0.036050,0.737029,7.371005,-134.215068,6.278929
0.020000,4.911436,10.434338,0.053739,0.884460,7.371565,0.028014,6.276724
0.020000,4.932073,10.434178,0.074377,1.031893,7.371666,0.005014,6.274150
0.020000,4.955658,10.433930,0.097963,1.179305,7.370607,-0.052933,6.271209
0.020000,4.982191,10.433568,0.124499,1.326779,7.373681,0.153702,6.267900
0.020000,5.011670,10.433063,0.153983,1.474174,7.369735,-0.197282,6.264222
0.020000,5.044095,10.432383,0.186415,1.621617,7.372152,0.120810,6.260177
0.020000,5.079465,10.431491,0.221796,1.769035,7.370931,-0.061021,6.255764
0.020000,5.117775,10.430348,0.260123,1.916368,7.366635,-0.214810,6.250985
0.020000,5.159025,10.428913,0.301398,2.063737,7.368436,0.090047,6.245839
0.020000,5.203209,10.427141,0.345618,2.211004,7.363371,-0.253219,6.240329
0.020000,5.250324,10.424982,0.392782,2.358234,7.361467,-0.095238,6.234455
0.020000,5.300363,10.422385,0.442889,2.505306,7.353627,-0.391990,6.228219
0.020000,5.353319,10.419296,0.495935,2.652300,7.349717,-0.195482,6.221625
0.020000,5.409184,10.415657,0.551917,2.799142,7.342083,-0.381691,6.214674
0.020000,5.467946,10.411410,0.610833,2.945776,7.331682,-0.520066,6.207371
0.020000,5.529594,10.406489,0.672677,3.092220,7.322212,-0.473517,6.199720
0.020000,5.594115,10.400832,0.737446,3.238429,7.310448,-0.588207,6.191726
0.020000,5.661492,10.394369,0.805132,3.384307,7.293910,-0.826901,6.183394
0.020000,5.731707,10.387031,0.875729,3.529852,7.277267,-0.832128,6.174732
0.020000,5.804739,10.378747,0.949229,3.675001,7.257425,-0.992101,6.165748
