dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.859597,9.434505,0.000645,0.064516,3.225806,161.290323,0.001255
0.020000,4.859597,9.434505,0.003226,0.193548,6.451613,161.290323,0.000888
0.020000,4.859597,9.434505,0.008387,0.322581,6.451613,0.000000,0.000153
0.020000,4.866265,9.434502,0.016129,0.451613,6.451613,0.000000,6.282236
0.020000,4.876587,9.434485,0.026452,0.580645,6.451613,0.000000,6.280766
0.020000,4.889490,9.434441,0.039355,0.709677,6.451613,-0.000000,6.278929
0.020000,4.904974,9.434358,0.054839,0.838710,6.451613,0.000000,6.276724
0.020000,4.923038,9.434219,0.072903,0.967742,6.451613,0.000000,6.274150
0.020000,4.943682,9.434002,0.093548,1.096774,6.451613,-0.000000,6.271209
0.020000,4.966906,9.433685,0.116774,1.225806,6.451613,0.000000,6.267900
0.020000,4.992708,9.433243,0.142581,1.354839,6.451613,-0.000000,6.264222
0.020000,5.021089,9.432647,0.170968,1.483871,6.451613,0.000000,6.260177
0.020000,5.052047,9.431867,0.201935,1.612903,6.451613,-0.000000,6.255764
0.020000,5.085580,9.430867,0.235484,1.741935,6.451613,0.000000,6.250985
0.020000,5.121687,9.429611,0.271613,1.870968,6.451613,-0.000000,6.245839
0.020000,5.160366,9.428059,0.310323,2.000000,6.451613,0.000000,6.240329
0.020000,5.201613,9.426169,0.351613,2.129032,6.451613,-0.000000,6.234455
0.020000,5.245425,9.423895,0.395484,2.258065,6.451613,0.000000,6.228219
0.020000,5.291798,9.421190,0.441935,2.387097,6.451613,-0.000000,6.221625
0.020000,5.340726,9.418003,0.490968,2.516129,6.451613,0.000000,6.214674
0.020000,5.392204,9.414282,0.542581,2.645161,6.451613,0.000000,6.207371
0.020000,5.446226,9.409971,0.596774,2.774194,6.451613,0.000000,6.199720
0.020000,5.502783,9.405011,0.653548,2.903226,6.451613,-0.000000,6.191726
0.020000,5.561867,9.399344,0.712903,3.032258,6.451613,0.000000,6.183394
0.020000,5.623466,9.392907,0.774839,3.161290,6.451613,0.000000,6.174732
0.020000,5.687571,9.385635,0.839355,3.290323,6.451613,0.000000,6.165748
0.020000,5.754168,9.377464,0.906452,3.419355,6.451613,-0.000000,6.156451
0.020000,5.823243,9.368325,0.976129,3.548387,6.451613,0.000000,6.146850
0.020000,5.894781,9.358149,1.048387,3.677419,6.451613,0.000000,6.136956
0.020000,5.968764,9.346868,1.123226,3.806452,6.451613,0.000000,6.126784
0.020000,6.045174,9.334409,1.200645,3.935484,6.451613,-0.000000,6.116345
0.020000,6.123356,9.320816,1.280000,4.000000,3.225806,-161.290323,6.105742
0.020000,6.202023,9.306278,1.360000,4.000000,0.000000,-161.290323,6.095159
0.020000,6.280533,9.290912,1.440000,4.000000,0.000000,0.000000,6.084688
0.020000,6.358879,9.274730,1.520000,4.000000,0.000000,0.000000,6.074335
0.020000,6.437054,9.257742,1.600000,4.000000,0.000000,0.000000,6.064107
