dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.860852,8.434506,0.000645,0.064516,3.225806,161.290323,0.001255
0.020000,4.860485,8.434505,0.001013,0.018374,-2.307087,-276.644666,0.000888
0.020000,4.859750,8.434505,0.001748,0.036743,0.918423,161.275476,0.000153
0.020000,4.865315,8.434502,0.007313,0.278278,12.076781,557.917936,6.282236
0.020000,4.874168,8.434487,0.016166,0.442637,8.217946,-192.941764,6.280766
0.020000,4.885234,8.434451,0.027232,0.553287,5.532460,-134.274319,6.278929
0.020000,4.898512,8.434379,0.040510,0.663932,5.532271,-0.009429,6.276724
0.020000,4.914003,8.434259,0.056002,0.774568,5.531795,-0.023788,6.274150
0.020000,4.931706,8.434073,0.073705,0.885180,5.530607,-0.059407,6.271209
0.020000,4.951621,8.433802,0.093622,0.995836,5.532795,0.109404,6.267900
0.020000,4.973746,8.433423,0.115751,1.106438,5.530123,-0.133592,6.264222
0.020000,4.998083,8.432912,0.140093,1.217094,5.532788,0.133235,6.260177
0.020000,5.024630,8.432243,0.166648,1.327763,5.533456,0.033392,6.255764
0.020000,5.053385,8.431385,0.195416,1.438418,5.532737,-0.035933,6.250985
0.020000,5.084350,8.430308,0.226400,1.549173,5.537725,0.249402,6.245839
0.020000,5.117522,8.428977,0.259599,1.659951,5.538917,0.059589,6.240329
0.020000,5.152902,8.427356,0.295015,1.770833,5.544083,0.258272,6.234455
0.020000,5.190486,8.425405,0.332651,1.881766,5.546655,0.128633,6.228219
0.020000,5.230276,8.423084,0.372508,1.992852,5.554322,0.383337,6.221625
0.020000,5.272269,8.420349,0.414589,2.104085,5.561629,0.365357,6.214674
0.020000,5.316463,8.417155,0.458899,2.215477,5.569601,0.398582,6.207371
0.020000,5.362857,8.413452,0.505441,2.327103,5.581337,0.586831,6.199720
0.020000,5.411451,8.409191,0.554221,2.438998,5.594745,0.670356,6.191726
0.020000,5.462241,8.404319,0.605244,2.551164,5.608286,0.677048,6.183394
0.020000,5.515226,8.398782,0.658518,2.663680,5.625811,0.876291,6.174732
0.020000,5.570404,8.392523,0.714050,2.776587,5.645324,0.975626,6.165748
0.020000,5.627772,8.385484,0.771848,2.889931,5.667224,1.095006,6.156451
0.020000,5.687330,8.377604,0.831924,3.003816,5.694219,1.349735,6.146850
0.020000,5.749073,8.368822,0.894289,3.118230,5.720728,1.325476,6.136956
0.020000,5.812999,8.359074,0.958955,3.233276,5.752308,1.578974,6.126784
0.020000,5.879107,8.348295,1.025935,3.349044,5.788360,1.802600,6.116345
0.020000,5.946843,8.336518,1.094687,3.437579,4.426761,-68.079943,6.105742
