dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.537733,14.751163,0.050000,0.500000,2.500000,12.500000,6.277042
0.200000,4.651908,14.749652,0.164186,0.570928,0.354639,-10.726803,6.262855
0.200000,4.766051,14.746521,0.278371,0.570928,-0.000001,-1.773203,6.248668
0.200000,4.880124,14.741772,0.392543,0.570858,-0.000346,-0.001721,6.234496
0.200000,4.994091,14.735410,0.506687,0.570722,-0.000683,-0.001689,6.220350
0.200000,5.107915,14.727442,0.620790,0.570514,-0.001037,-0.001767,6.206247
0.200000,5.221560,14.717877,0.734837,0.570236,-0.001391,-0.001771,6.192198
0.200000,5.334992,14.706727,0.848816,0.569892,-0.001722,-0.001654,6.178219
0.200000,5.448175,14.694006,0.962711,0.569476,-0.002080,-0.001788,6.164323
0.200000,5.561075,14.679732,1.076510,0.568995,-0.002403,-0.001619,6.150523
0.200000,5.673659,14.663922,1.190199,0.568446,-0.002746,-0.001714,6.136833
0.200000,5.785897,14.646597,1.303766,0.567834,-0.003058,-0.001558,6.123265
0.200000,5.897758,14.627782,1.417198,0.567159,-0.003376,-0.001593,6.109832
0.200000,6.009212,14.607499,1.530482,0.566423,-0.003679,-0.001515,6.096547
0.200000,6.120233,14.585778,1.643608,0.565630,-0.003967,-0.001438,6.083420
0.200000,6.230795,14.562645,1.756565,0.564782,-0.004242,-0.001374,6.070463
0.200000,6.340874,14.538130,1.869341,0.563880,-0.004509,-0.001335,6.057686
0.200000,6.450449,14.512265,1.981927,0.562929,-0.004757,-0.001242,6.045100
0.200000,6.559498,14.485082,2.094313,0.561930,-0.004991,-0.001169,6.032713
0.200000,6.668003,14.456614,2.206490,0.560888,-0.005209,-0.001093,6.020534
0.200000,6.775948,14.426897,2.318452,0.559806,-0.005413,-0.001015,6.008573
0.200000,6.883319,14.395964,2.430189,0.558686,-0.005600,-0.000937,5.996835
0.200000,6.990101,14.363852,2.541695,0.557532,-0.005772,-0.000859,5.985328
0.200000,7.096284,14.330596,2.652964,0.556346,-0.005928,-0.000781,5.974058
0.200000,7.201860,14.296235,2.763991,0.555132,-0.006069,-0.000707,5.963031
0.200000,7.306819,14.260803,2.874769,0.553893,-0.006195,-0.000631,5.952252
0.200000,7.411157,14.224338,2.985296,0.552632,-0.006307,-0.000559,5.941725
