dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.531589,13.751182,0.050000,0.500000,2.500000,12.500000,6.277042
0.200000,4.631579,13.749859,0.150000,0.500000,0.000000,-12.500000,6.262855
0.200000,4.731541,13.747117,0.250000,0.500000,0.000000,0.000000,6.248668
0.200000,4.831453,13.742957,0.350000,0.500000,0.000000,0.000000,6.234496
0.200000,4.931297,13.737384,0.450000,0.500000,0.000000,0.000000,6.220350
0.200000,5.031052,13.730400,0.550000,0.500000,0.000000,0.000000,6.206247
0.200000,5.130699,13.722014,0.650000,0.500000,0.000000,0.000000,6.192198
0.200000,5.230219,13.712231,0.750000,0.500000,0.000000,0.000000,6.178219
0.200000,5.329592,13.701062,0.850000,0.500000,0.000000,0.000000,6.164323
0.200000,5.428801,13.688518,0.950000,0.500000,0.000000,0.000000,6.150523
0.200000,5.527829,13.674612,1.050000,0.500000,0.000000,0.000000,6.136833
0.200000,5.626658,13.659357,1.150000,0.500000,0.000000,0.000000,6.123265
0.200000,5.725272,13.642770,1.250000,0.500000,0.000000,0.000000,6.109832
0.200000,5.823655,13.624866,1.350000,0.500000,0.000000,0.000000,6.096547
0.200000,5.921793,13.605665,1.450000,0.500000,0.000000,0.000000,6.083420
0.200000,6.019673,13.585185,1.550000,0.500000,0.000000,0.000000,6.070463
0.200000,6.117281,13.563447,1.650000,0.500000,0.000000,0.000000,6.057686
0.200000,6.214606,13.540474,1.750000,0.500000,0.000000,0.000000,6.045100
0.200000,6.311636,13.516286,1.850000,0.500000,0.000000,0.000000,6.032713
0.200000,6.408362,13.490909,1.950000,0.500000,0.000000,0.000000,6.020534
0.200000,6.504774,13.464366,2.050000,0.500000,0.000000,0.000000,6.008573
0.200000,6.600865,13.436683,2.150000,0.500000,0.000000,0.000000,5.996835
0.200000,6.696628,13.407884,2.250000,0.500000,0.000000,0.000000,5.985328
0.200000,6.792057,13.377997,2.350000,0.500000,0.000000,0.000000,5.974058
0.200000,6.887147,13.347048,2.450000,0.500000,0.000000,0.000000,5.963031
0.200000,6.981893,13.315064,2.550000,0.500000,0.000000,0.000000,5.952252
0.200000,7.076294,13.282072,2.650000,0.500000,0.000000,0.000000,5.941725
0.200000,7.170346,13.248100,2.750000,0.500000,0.000000,0.000000,5.931454
0.200000,7.264049,13.213176,2.850000,0.500000,0.000000,0.000000,5.921443
0.200000,7.357402,13.177329,2.950000,0.500000,0.000000,0.000000,5.911695
0.200000,7.450407,13.140585,3.050000,0.500000,0.000000,0.000000,5.902211
0.200000,7.543063,13.102973,3.150000,0.500000,0.000000,0.000000,5.892994
0.200000,7.635375,13.064521,3.250000,0.500000,0.000000,0.000000,5.884045
0.200000,7.727344,13.025257,3.350000,0.500000,0.000000,0.000000,5.875366
0.200000,7.818974,12.985209,3.450000,0.500000,0.000000,0.000000,5.866958
0.200000,7.910269,12.944404,3.550000,0.500000,0.000000,0.000000,5.858819
0.200000,8.001236,12.902869,3.650000,0.500000,0.000000,0.000000,5.850952
0.200000,8.091878,12.860633,3.750000,0.500000,0.000000,0.000000,5.843355
0.200000,8.182203,12.817721,3.850000,0.500000,0.000000,0.000000,5.836029
0.200000,8.272216,12.774161,3.950000,0.500000,0.000000,0.000000,5.828972
0.200000,8.361926,12.729979,4.050000,0.500000,0.000000,0.000000,5.822184
0.200000,8.451340,12.685201,4.150000,0.500000,0.000000,0.000000,5.815665
0.200000,8.540467,12.639852,4.250000,0.500000,0.000000,0.000000,5.809412
0.200000,8.629314,12.593960,4.350000,0.500000,0.000000,0.000000,5.803425
0.200000,8.717891,12.547547,4.450000,0.500000,0.000000,0.000000,5.797702
0.200000,8.806207,12.500641,4.550000,0.500000,0.000000,0.000000,5.792242
0.200000,8.894272,12.453264,4.650000,0.500000,0.000000,0.000000,5.787043
0.200000,8.982096,12.405441,4.750000,0.500000,0.000000,0.000000,5.782105
0.200000,9.069688,12.357197,4.850000,0.500000,0.000000,0.000000,5.777426
0.200000,9.157060,12.308555,4.950000,0.500000,0.000000,0.000000,5.773003
0.200000,9.244223,12.259538,5.050000,0.500000,0.000000,0.000000,5.768836
0.200000,9.331187,12.210169,5.150000,0.500000,0.000000,0.000000,5.764923
0.200000,9.417963,12.160471,5.250000,0.500000,0.000000,0.000000,5.761263
0.200000,9.504563,12.110467,5.350000,0.500000,0.000000,0.000000,5.757854
0.200000,9.590998,12.060178,5.450000,0.500000,0.000000,0.000000,5.754695
0.200000,9.677281,12.009628,5.550000,0.500000,0.000000,0.000000,5.751785
0.200000,9.763422,11.958837,5.650000,0.500000,0.000000,0.000000,5.749122
0.200000,9.849434,11.907828,5.750000,0.500000,0.000000,0.000000,5.746705
0.200000,9.935329,11.856622,5.850000,0.500000,0.000000,0.000000,5.744533
0.200000,10.021118,11.805239,5.950000,0.500000,0.000000,0.000000,5.742606
0.200000,10.106815,11.753702,6.050000,0.500000,0.000000,0.000000,5.740922
0.200000,10.192431,11.702031,6.150000,0.500000,0.000000,0.000000,5.739481
0.200000,10.277979,11.650247,6.250000,0.500000,0.000000,0.000000,5.738282
0.200000,10.363470,11.598371,6.350000,0.500000,0.000000,0.000000,5.737324
