dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.723038,10.616275,0.100000,1.000000,5.000000,25.000000,0.003215
0.200000,5.031626,10.618664,0.408598,1.542990,2.714950,-11.425248,0.011814
0.200000,5.539682,10.627052,0.916722,2.540622,4.988160,11.366048,0.019940
0.200000,6.238036,10.641330,1.615223,3.492503,4.759403,-1.143786,0.018441
0.200000,7.017776,10.649161,2.395002,3.898897,2.031970,-13.637164,6.281419
0.200000,7.776981,10.633800,3.154362,3.796799,-0.510487,-12.712286,6.240831
0.200000,8.513062,10.581191,3.892322,3.689797,-0.535009,-0.122608,6.178908
0.200000,9.221762,10.478347,4.608444,3.580613,-0.545923,-0.054571,6.095240
0.200000,9.897903,10.314226,5.304219,3.478877,-0.508681,0.186208,5.991329
0.200000,10.536851,10.080730,5.984495,3.401376,-0.387502,0.605898,5.872010
0.200000,11.135702,9.773386,6.657609,3.365570,-0.179033,1.042344,5.745574
0.200000,11.717320,9.378637,7.360537,3.514640,0.745352,4.621923,5.652307
0.200000,12.316251,8.921683,8.113879,3.766711,1.260356,2.575023,5.605717
0.200000,12.865306,8.447714,8.839212,3.626664,-0.700237,-9.802967,5.531218
0.200000,13.351303,7.946909,9.537064,3.489264,-0.687001,0.066181,5.429373
0.200000,13.763218,7.412314,10.211947,3.374412,-0.574256,0.563725,5.304694
0.200000,14.252295,6.717093,11.061963,4.250082,4.378346,24.763009,5.358702
0.200000,14.838145,6.018963,11.973339,4.556880,1.533993,-14.221765,5.470556
0.200000,15.557012,5.372518,12.940118,4.833892,1.385058,-0.744674,5.638476
0.200000,16.421596,4.852857,13.948856,5.043692,1.048999,-1.680295,5.849092
0.200000,17.348288,4.534996,14.928547,4.898454,-0.726191,-8.875951,6.038915
0.200000,18.236255,4.360089,15.833576,4.525147,-1.866535,-5.701719,6.144363
0.200000,19.192166,4.298645,16.791460,4.789418,1.321357,15.939459,0.020068
0.200000,20.228150,4.441830,17.837292,5.229161,2.198716,4.386793,0.268602
0.200000,21.268553,4.934277,18.988353,5.755306,2.630724,2.160040,0.625860
0.200000,22.067788,5.784438,20.155208,5.834277,0.394854,-11.179345,0.999600
0.200000,22.511207,6.758675,21.225609,5.352004,-2.411365,-14.031096,1.273363
0.200000,22.694634,7.603961,22.090568,4.324794,-5.136049,-13.623422,1.432323
0.200000,22.751492,8.197811,22.687134,2.982828,-6.709828,-7.868892,1.515242
0.200000,22.763735,8.552616,23.042150,1.775080,-6.038745,3.355414,1.556465
0.200000,22.764692,8.679961,23.169498,0.636744,-5.691677,1.735339,1.569997
0.200000,22.764695,8.687671,23.177208,0.038548,-2.990980,13.503482,1.570796
0.200000,22.764695,8.687671,23.177208,0.000000,-0.192741,13.991198,1.570796
