dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.045756,-0.999983,0.050000,0.500000,2.500000,12.500000,0.000756
0.200000,0.147361,-0.999823,0.151605,0.508025,0.040127,-12.299364,0.002361
0.200000,0.248863,-0.999507,0.253108,0.507515,-0.002554,-0.213404,0.003864
0.200000,0.350263,-0.999043,0.354509,0.507004,-0.002554,-0.000001,0.005264
0.200000,0.451560,-0.998443,0.455807,0.506493,-0.002554,-0.000000,0.006563
0.200000,0.552754,-0.997718,0.557004,0.505983,-0.002554,0.000000,0.007760
0.200000,0.653844,-0.996877,0.658098,0.505472,-0.002554,0.000000,0.008854
0.200000,0.754832,-0.995932,0.759091,0.504961,-0.002553,0.000001,0.009846
0.200000,0.855717,-0.994893,0.859981,0.504450,-0.002553,0.000001,0.010736
0.200000,0.956499,-0.993770,0.960769,0.503940,-0.002553,0.000001,0.011524
0.200000,1.057177,-0.992574,1.061454,0.503429,-0.002553,0.000001,0.012210
0.200000,1.157753,-0.991316,1.162038,0.502919,-0.002553,0.000001,0.012794
0.200000,1.258226,-0.990006,1.262520,0.502408,-0.002553,0.000001,0.013275
0.200000,1.358597,-0.988653,1.362899,0.501898,-0.002552,0.000001,0.013655
0.200000,1.458865,-0.987269,1.463177,0.501387,-0.002552,0.000001,0.013932
0.200000,1.559030,-0.985864,1.563352,0.500877,-0.002552,0.000000,0.014108
0.200000,1.659093,-0.984448,1.663425,0.500366,-0.002552,0.000000,0.014181
0.200000,1.759054,-0.983031,1.763397,0.499856,-0.002552,0.000000,0.014152
0.200000,1.858914,-0.981623,1.863266,0.499345,-0.002552,-0.000000,0.014021
0.200000,1.958671,-0.980235,1.963033,0.498835,-0.002552,-0.000000,0.013788
0.200000,2.058327,-0.978877,2.062697,0.498324,-0.002552,-0.000000,0.013453
0.200000,2.157881,-0.977558,2.162260,0.497814,-0.002552,-0.000001,0.013016
0.200000,2.257333,-0.976289,2.261721,0.497303,-0.002553,-0.000001,0.012477
0.200000,2.356684,-0.975081,2.361080,0.496793,-0.002553,-0.000001,0.011835
0.200000,2.455934,-0.973942,2.460336,0.496282,-0.002553,-0.000001,0.011092
0.200000,2.555083,-0.972883,2.559490,0.495772,-0.002553,-0.000001,0.010246
0.200000,2.654131,-0.971915,2.658543,0.495261,-0.002553,-0.000001,0.009298
0.200000,2.753077,-0.971046,2.757493,0.494750,-0.002553,-0.000001,0.008248
0.200000,2.851922,-0.970286,2.856341,0.494240,-0.002554,-0.000001,0.007096
0.200000,2.950666,-0.969647,2.955086,0.493729,-0.002554,-0.000001,0.005842
0.200000,3.049308,-0.969137,3.053730,0.493218,-0.002554,-0.000000,0.004486
0.200000,3.147849,-0.968766,3.152272,0.492707,-0.002554,0.000000,0.003027
0.200000,3.246288,-0.968544,3.250711,0.492197,-0.002554,0.000000,0.001467
0.200000,3.344625,-0.968480,3.349048,0.491686,-0.002553,0.000001,6.282989
0.200000,3.442860,-0.968585,3.447283,0.491175,-0.002553,0.000002,6.281224
0.200000,3.540993,-0.968869,3.545416,0.490665,-0.002553,0.000002,6.279357
0.200000,3.639022,-0.969339,3.643447,0.490154,-0.002552,0.000003,6.277388
0.200000,3.736949,-0.970008,3.741376,0.489644,-0.002551,0.000004,6.275317
0.200000,3.834772,-0.970883,3.839203,0.489134,-0.002550,0.000005,6.273144
0.200000,3.932490,-0.971975,3.936927,0.488624,-0.002549,0.000006,6.270869
0.200000,4.030105,-0.973292,4.034550,0.488115,-0.002547,0.000008,6.268492
0.200000,4.127613,-0.974845,4.132072,0.487606,-0.002546,0.000009,6.266013
0.200000,4.225016,-0.976643,4.229491,0.487097,-0.002543,0.000011,6.263432
0.200000,4.322312,-0.978695,4.326809,0.486589,-0.002541,0.000013,6.260750
0.200000,4.419501,-0.981010,4.424025,0.486081,-0.002538,0.000014,6.257966
0.200000,4.516581,-0.983598,4.521140,0.485574,-0.002535,0.000017,6.255081
0.200000,4.613552,-0.986468,4.618153,0.485068,-0.002531,0.000019,6.252095
0.200000,4.710413,-0.989629,4.715066,0.484563,-0.002527,0.000021,6.249007
0.200000,4.807163,-0.993091,4.811878,0.484058,-0.002522,0.000024,6.245819
0.200000,4.903801,-0.996862,4.908589,0.483555,-0.002517,0.000027,6.242530
0.200000,4.954781,-0.998981,4.959613,0.255123,-1.142160,-5.698219,6.240753
0.200000,4.957485,-0.999096,4.962320,0.013533,-1.207948,-0.328936,6.240658
0.200000,4.957485,-0.999096,4.962320,0.000000,-0.067667,5.701405,6.240658
