dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.716607,12.616264,0.100000,1.000000,5.000000,25.000000,0.003215
0.200000,5.007998,12.618524,0.391400,1.457001,2.285004,-13.574982,0.011814
0.200000,5.499804,12.626655,0.883273,2.459364,5.011817,13.634066,0.019940
0.200000,6.201157,12.640990,1.584772,3.507496,5.240660,1.144216,0.018441
0.200000,7.021309,12.649158,2.404965,4.100966,2.967348,-11.366560,6.281419
0.200000,7.861664,12.632007,3.245495,4.202650,0.508421,-12.294638,6.240831
0.200000,8.721239,12.570327,4.107280,4.308922,0.531361,0.114705,6.178908
0.200000,9.595443,12.443127,4.990690,4.417050,0.540637,0.046379,6.095240
0.200000,10.473364,12.229649,5.894193,4.517516,0.502331,-0.191530,5.991329
0.200000,11.336225,11.914034,6.812966,4.593864,0.381742,-0.602947,5.872010
0.200000,12.159874,11.491254,7.738783,4.629089,0.176124,-1.028087,5.745574
0.200000,12.897029,10.993656,8.628167,4.446917,-0.910860,-5.434924,5.652307
0.200000,13.569896,10.480008,9.474679,4.232562,-1.071776,-0.804579,5.605717
0.200000,14.231459,9.908407,10.348975,4.371482,0.694600,8.831881,5.531218
0.200000,14.858885,9.261138,11.250430,4.507271,0.678945,-0.078275,5.429373
0.200000,15.422530,8.528865,12.174508,4.620391,0.565599,-0.566730,5.304694
0.200000,15.848914,7.921588,12.916524,3.710082,-4.551541,-25.585700,5.358702
0.200000,16.290341,7.394146,13.604312,3.438941,-1.355705,15.979182,5.470556
0.200000,16.758944,6.971067,14.235648,3.156677,-1.411324,-0.278096,5.638476
0.200000,17.262771,6.667360,14.823933,2.941429,-1.076240,1.675418,5.849092
0.200000,17.831986,6.475624,15.424573,3.003196,0.308838,6.925389,6.038915
0.200000,18.513009,6.340848,16.118805,3.471159,2.339815,10.154886,6.144363
0.200000,19.152033,6.298242,16.759248,3.202215,-1.344720,-18.422672,0.020068
0.200000,19.697383,6.370116,17.309313,2.750326,-2.259448,-4.573640,0.268602
0.200000,20.096964,6.555196,17.749676,2.201816,-2.742548,-2.415503,0.625860
0.200000,20.385278,6.865716,18.173406,2.118653,-0.415816,11.633658,0.999600
0.200000,20.599024,7.344810,18.698019,2.623065,2.522061,14.689389,1.273363
0.200000,20.713778,7.880023,19.245396,2.736885,0.569099,-9.764810,1.432323
0.200000,20.754577,8.308862,19.676172,2.153875,-2.915047,-17.420732,1.515242
0.200000,20.763940,8.581277,19.948747,1.362877,-3.954991,-5.199720,1.556465
0.200000,20.764692,8.681560,20.049033,0.501430,-4.307234,-1.761216,1.569997
0.200000,20.764695,8.687671,20.055144,0.030554,-2.354384,9.764253,1.570796
0.200000,20.764695,8.687671,20.055144,0.000000,-0.152768,11.008079,1.570796
