dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.525445,12.751201,0.050000,0.500000,2.500000,12.500000,6.277042
0.200000,4.611250,12.750065,0.135813,0.429063,-0.354683,-14.273414,6.262855
0.200000,4.697031,12.747712,0.221625,0.429063,-0.000000,1.773412,6.248668
0.200000,4.782783,12.744142,0.307452,0.429132,0.000341,0.001709,6.234496
0.200000,4.868504,12.739357,0.393306,0.429270,0.000694,0.001762,6.220350
0.200000,4.954189,12.733359,0.479201,0.429478,0.001037,0.001717,6.206247
0.200000,5.039837,12.726150,0.565152,0.429754,0.001380,0.001713,6.192198
0.200000,5.125445,12.717735,0.651172,0.430101,0.001737,0.001785,6.178219
0.200000,5.211009,12.708118,0.737275,0.430515,0.002068,0.001654,6.164323
0.200000,5.296528,12.697305,0.823475,0.430998,0.002415,0.001736,6.150523
0.200000,5.381998,12.685302,0.909784,0.431545,0.002736,0.001606,6.136833
0.200000,5.467418,12.672117,0.996216,0.432158,0.003067,0.001653,6.123265
0.200000,5.552786,12.657758,1.082782,0.432833,0.003375,0.001542,6.109832
0.200000,5.638098,12.642232,1.169496,0.433569,0.003676,0.001506,6.096547
0.200000,5.723354,12.625551,1.256368,0.434362,0.003968,0.001460,6.083420
0.200000,5.808551,12.607725,1.343411,0.435212,0.004247,0.001395,6.070463
0.200000,5.893688,12.588765,1.430633,0.436113,0.004508,0.001303,6.057686
0.200000,5.978763,12.568682,1.518046,0.437065,0.004757,0.001247,6.045100
0.200000,6.063774,12.547491,1.605659,0.438063,0.004992,0.001172,6.032713
0.200000,6.148720,12.525204,1.693480,0.439105,0.005210,0.001094,6.020534
0.200000,6.233600,12.501836,1.781518,0.440188,0.005414,0.001016,6.008573
0.200000,6.318412,12.477402,1.869779,0.441308,0.005601,0.000937,5.996835
0.200000,6.403155,12.451917,1.958272,0.442463,0.005773,0.000859,5.985328
0.200000,6.487829,12.425398,2.047001,0.443649,0.005929,0.000782,5.974058
0.200000,6.572434,12.397861,2.135974,0.444863,0.006070,0.000704,5.963031
0.200000,6.656967,12.369324,2.225194,0.446102,0.006196,0.000631,5.952252
0.200000,6.741430,12.339805,2.314667,0.447364,0.006308,0.000559,5.941725
0.200000,6.825823,12.309322,2.404396,0.448645,0.006406,0.000489,5.931454
0.200000,6.910145,12.277895,2.494385,0.449943,0.006490,0.000423,5.921443
0.200000,6.994398,12.245541,2.584636,0.451255,0.006562,0.000359,5.911695
0.200000,7.078582,12.212282,2.675152,0.452580,0.006622,0.000299,5.902211
0.200000,7.162698,12.178137,2.765934,0.453914,0.006671,0.000243,5.892994
0.200000,7.246749,12.143125,2.856986,0.455256,0.006709,0.000190,5.884045
0.200000,7.330736,12.107269,2.948306,0.456603,0.006737,0.000141,5.875366
0.200000,7.414661,12.070588,3.039897,0.457954,0.006756,0.000096,5.866958
0.200000,7.498526,12.033104,3.131759,0.459308,0.006767,0.000055,5.858819
0.200000,7.582336,11.994837,3.223891,0.460662,0.006771,0.000017,5.850952
0.200000,7.666092,11.955809,3.316294,0.462015,0.006767,-0.000017,5.843355
0.200000,7.749799,11.916041,3.408967,0.463367,0.006758,-0.000047,5.836029
0.200000,7.833461,11.875554,3.501911,0.464716,0.006743,-0.000074,5.828972
