dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.044244,1.000017,0.050000,0.500000,2.500000,12.500000,0.000756
0.200000,0.142639,1.000171,0.148395,0.491974,-0.040128,-12.700639,0.002361
0.200000,0.241136,1.000478,0.246892,0.492485,0.002554,0.213407,0.003864
0.200000,0.339734,1.000929,0.345491,0.492996,0.002554,0.000001,0.005264
0.200000,0.438433,1.001514,0.444192,0.493507,0.002554,0.000000,0.006563
0.200000,0.537234,1.002222,0.542996,0.494017,0.002554,-0.000000,0.007760
0.200000,0.636137,1.003045,0.641902,0.494528,0.002554,-0.000000,0.008854
0.200000,0.735140,1.003971,0.740909,0.495039,0.002554,-0.000001,0.009846
0.200000,0.834245,1.004992,0.840019,0.495550,0.002553,-0.000001,0.010736
0.200000,0.933451,1.006097,0.939231,0.496060,0.002553,-0.000001,0.011524
0.200000,1.032758,1.007276,1.038545,0.496571,0.002553,-0.000001,0.012210
0.200000,1.132166,1.008520,1.137962,0.497081,0.002553,-0.000001,0.012794
0.200000,1.231676,1.009818,1.237480,0.497592,0.002553,-0.000001,0.013275
0.200000,1.331288,1.011160,1.337101,0.498102,0.002552,-0.000001,0.013655
0.200000,1.431001,1.012537,1.436823,0.498613,0.002552,-0.000001,0.013932
0.200000,1.530815,1.013937,1.536648,0.499123,0.002552,-0.000000,0.014108
0.200000,1.630732,1.015351,1.636575,0.499634,0.002552,-0.000000,0.014181
0.200000,1.730751,1.016769,1.736603,0.500144,0.002552,-0.000000,0.014152
0.200000,1.830872,1.018181,1.836734,0.500655,0.002552,0.000000,0.014021
0.200000,1.931095,1.019575,1.936967,0.501165,0.002552,0.000000,0.013788
0.200000,2.031421,1.020943,2.037302,0.501676,0.002552,0.000000,0.013453
0.200000,2.131849,1.022273,2.137740,0.502186,0.002552,0.000001,0.013016
0.200000,2.232381,1.023555,2.238279,0.502696,0.002553,0.000001,0.012477
0.200000,2.333015,1.024779,2.338920,0.503207,0.002553,0.000001,0.011835
0.200000,2.433751,1.025935,2.439664,0.503718,0.002553,0.000001,0.011092
0.200000,2.534591,1.027012,2.540509,0.504228,0.002553,0.000001,0.010246
0.200000,2.635534,1.027999,2.641457,0.504739,0.002553,0.000001,0.009298
0.200000,2.736580,1.028886,2.742507,0.505250,0.002553,0.000001,0.008248
0.200000,2.837729,1.029663,2.843659,0.505760,0.002554,0.000001,0.007096
0.200000,2.938981,1.030319,2.944913,0.506271,0.002554,0.000001,0.005842
0.200000,3.040336,1.030843,3.046270,0.506782,0.002554,0.000000,0.004486
0.200000,3.141794,1.031225,3.147728,0.507293,0.002554,-0.000000,0.003027
0.200000,3.243355,1.031454,3.249289,0.507803,0.002554,-0.000000,0.001467
0.200000,3.345017,1.031520,3.350952,0.508314,0.002553,-0.000001,6.282989
0.200000,3.446782,1.031411,3.452717,0.508825,0.002553,-0.000002,6.281224
0.200000,3.548649,1.031117,3.554584,0.509335,0.002553,-0.000002,6.279357
0.200000,3.650617,1.030627,3.656553,0.509845,0.002552,-0.000003,6.277388
0.200000,3.752685,1.029930,3.758624,0.510356,0.002551,-0.000004,6.275317
0.200000,3.854855,1.029016,3.860797,0.510866,0.002550,-0.000005,6.273144
0.200000,3.957123,1.027874,3.963072,0.511376,0.002549,-0.000006,6.270869
0.200000,4.059491,1.026492,4.065449,0.511885,0.002547,-0.000008,6.268492
0.200000,4.161957,1.024860,4.167928,0.512394,0.002546,-0.000009,6.266013
0.200000,4.264520,1.022967,4.270508,0.512903,0.002543,-0.000011,6.263432
0.200000,4.367179,1.020802,4.373191,0.513411,0.002541,-0.000013,6.260750
0.200000,4.469934,1.018354,4.475974,0.513919,0.002538,-0.000014,6.257966
0.200000,4.572782,1.015612,4.578859,0.514425,0.002535,-0.000017,6.255081
0.200000,4.675724,1.012565,4.681846,0.514932,0.002531,-0.000019,6.252095
0.200000,4.778756,1.009203,4.784933,0.515437,0.002527,-0.000021,6.249007
0.200000,4.881878,1.005513,4.888121,0.515941,0.002522,-0.000024,6.245819
0.200000,4.985089,1.001486,4.991410,0.516445,0.002517,-0.000027,6.242530
0.200000,5.039621,0.999219,5.045989,0.272894,-1.217751,-6.101337,6.240753
0.200000,5.042515,0.999096,5.048886,0.014484,-1.292052,-0.371505,6.240658
0.200000,5.042515,0.999096,5.048886,0.000000,-0.072421,6.098156,6.240658
