dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.045000,0.000017,0.050000,0.500000,2.500000,12.500000,0.000756
0.200000,0.145000,0.000174,0.150000,0.500000,0.000000,-12.500000,0.002361
0.200000,0.244999,0.000486,0.250000,0.500000,0.000000,0.000000,0.003864
0.200000,0.344998,0.000943,0.350000,0.500000,0.000000,0.000000,0.005264
0.200000,0.444997,0.001535,0.450000,0.500000,0.000000,0.000000,0.006563
0.200000,0.544994,0.002252,0.550000,0.500000,0.000000,0.000000,0.007760
0.200000,0.644991,0.003084,0.650000,0.500000,0.000000,0.000000,0.008854
0.200000,0.744986,0.004020,0.750000,0.500000,0.000000,0.000000,0.009846
0.200000,0.844981,0.005050,0.850000,0.500000,0.000000,0.000000,0.010736
0.200000,0.944975,0.006163,0.950000,0.500000,0.000000,0.000000,0.011524
0.200000,1.044968,0.007351,1.050000,0.500000,0.000000,0.000000,0.012210
0.200000,1.144960,0.008602,1.150000,0.500000,0.000000,0.000000,0.012794
0.200000,1.244951,0.009906,1.250000,0.500000,0.000000,0.000000,0.013275
0.200000,1.344942,0.011254,1.350000,0.500000,0.000000,0.000000,0.013655
0.200000,1.444933,0.012634,1.450000,0.500000,0.000000,0.000000,0.013932
0.200000,1.544923,0.014037,1.550000,0.500000,0.000000,0.000000,0.014108
0.200000,1.644913,0.015452,1.650000,0.500000,0.000000,0.000000,0.014181
0.200000,1.744903,0.016869,1.750000,0.500000,0.000000,0.000000,0.014152
0.200000,1.844893,0.018279,1.850000,0.500000,0.000000,0.000000,0.014021
0.200000,1.944883,0.019670,1.950000,0.500000,0.000000,0.000000,0.013788
0.200000,2.044874,0.021033,2.050000,0.500000,0.000000,0.000000,0.013453
0.200000,2.144865,0.022357,2.150000,0.500000,0.000000,0.000000,0.013016
0.200000,2.244857,0.023633,2.250000,0.500000,0.000000,0.000000,0.012477
0.200000,2.344850,0.024849,2.350000,0.500000,0.000000,0.000000,0.011835
0.200000,2.444843,0.025996,2.450000,0.500000,0.000000,0.000000,0.011092
0.200000,2.544837,0.027064,2.550000,0.500000,0.000000,0.000000,0.010246
0.200000,2.644832,0.028042,2.650000,0.500000,0.000000,0.000000,0.009298
0.200000,2.744829,0.028920,2.750000,0.500000,0.000000,0.000000,0.008248
0.200000,2.844826,0.029688,2.850000,0.500000,0.000000,0.000000,0.007096
0.200000,2.944824,0.030336,2.950000,0.500000,0.000000,0.000000,0.005842
0.200000,3.044822,0.030853,3.050000,0.500000,0.000000,0.000000,0.004486
0.200000,3.144821,0.031230,3.150000,0.500000,0.000000,0.000000,0.003027
0.200000,3.244821,0.031455,3.250000,0.500000,0.000000,0.000000,0.001467
0.200000,3.344821,0.031520,3.350000,0.500000,0.000000,0.000000,6.282989
0.200000,3.444821,0.031413,3.450000,0.500000,0.000000,0.000000,6.281224
0.200000,3.544821,0.031124,3.550000,0.500000,0.000000,0.000000,6.279357
0.200000,3.644819,0.030644,3.650000,0.500000,0.000000,0.000000,6.277388
0.200000,3.744817,0.029961,3.750000,0.500000,0.000000,0.000000,6.275317
0.200000,3.844813,0.029067,3.850000,0.500000,0.000000,0.000000,6.273144
0.200000,3.944807,0.027950,3.950000,0.500000,0.000000,0.000000,6.270869
0.200000,4.044798,0.026600,4.050000,0.500000,0.000000,0.000000,6.268492
0.200000,4.144785,0.025008,4.150000,0.500000,0.000000,0.000000,6.266013
0.200000,4.244768,0.023162,4.250000,0.500000,0.000000,0.000000,6.263432
0.200000,4.344746,0.021054,4.350000,0.500000,0.000000,0.000000,6.260750
0.200000,4.444717,0.018672,4.450000,0.500000,0.000000,0.000000,6.257966
0.200000,4.544682,0.016007,4.550000,0.500000,0.000000,0.000000,6.255081
0.200000,4.644638,0.013049,4.650000,0.500000,0.000000,0.000000,6.252095
0.200000,4.744585,0.009787,4.750000,0.500000,0.000000,0.000000,6.249007
0.200000,4.844521,0.006211,4.850000,0.500000,0.000000,0.000000,6.245819
0.200000,4.944445,0.002312,4.950000,0.500000,0.000000,0.000000,6.242530
0.200000,4.997201,0.000119,5.002802,0.028017,-2.359913,-11.799565,6.240753
0.200000,5.000000,0.000000,5.005603,0.000000,-0.140087,11.099131,6.240658
0.200000,5.000000,0.000000,5.005603,0.000000,0.000000,0.700435,6.240658
